date,type,invitations_issued,CRS_score
3/17/2025,PNP,536,736
3/6/2025,French,4500,410
3/3/2025,PNP,725,667
2/19/2025,French,6500,428
2/17/2025,PNP,464,750
2/5/2025,CEC,4000,521
2/4/2025,PNP,455,802
1/23/2025,CEC,4000,527
1/8/2025,CEC,1350,542
1/7/2025,PNP,471,793
12/16/2024,PNP,1085,727
12/3/2024,French,800,466
12/2/2024,PNP,676,705
11/20/2024,Health,3000,463
11/19/2024,CEC,400,539
11/18/2024,PNP,174,816
11/15/2024,French,800,478
11/13/2024,CEC,400,547
11/12/2024,PNP,733,812
10/23/2024,Trade,1800,433
10/22/2024,CEC,400,539
10/21/2024,PNP,648,791
10/10/2024,French,1000,444
10/9/2024,CEC,500,539
10/7/2024,PNP,1613,743
9/19/2024,CEC,4000,509
9/13/2024,French,1000,446
9/9/2024,PNP,911,732
8/27/2024,CEC,3300,507
8/26/2024,PNP,1121,694
8/15/2024,French,2000,394
8/14/2024,CEC,3200,509
8/13/2024,PNP,763,690
7/31/2024,CEC,5000,510
7/30/2024,PNP,964,686
7/18/2024,French,1800,400
7/17/2024,CEC,6300,515
7/16/2024,PNP,1391,670
7/8/2024,French,3200,420
7/5/2024,Health,3750,445
7/4/2024,Trade,1800,436
7/2/2024,PNP,920,739
6/19/2024,PNP,1499,663
5/31/2024,CEC,3000,522
5/30/2024,PNP,2985,676
4/24/2024,French,1400,410
4/23/2024,General,2095,529
4/11/2024,STEM,4500,491
4/10/2024,General,1280,549
3/26/2024,French,1500,388
3/25/2024,General,1980,524
3/13/2024,Transport,975,430
3/12/2024,General,2850,525
2/29/2024,French,2500,336
2/28/2024,General,1470,534
2/16/2024,Agriculture,150,437
2/14/2024,Health,3500,422
2/13/2024,General,1490,535
2/1/2024,French,7000,365
1/31/2024,General,730,541
1/23/2024,General,1040,543
1/10/2024,General,1510,546
12/21/2023,Agriculture,400,386
12/20/2023,Transport,670,435
12/19/2023,Trade,1000,425
12/18/2023,General,1325,542
12/8/2023,STEM,5900,481
12/7/2023,French,1000,470
12/6/2023,General,4750,561
10/26/2023,Health,3600,431
10/25/2023,French,300,486
10/24/2023,PNP,1548,776
10/10/2023,General,3725,500
9/28/2023,Agriculture,600,354
9/27/2023,French,500,472
9/26/2023,General,3000,504
9/20/2023,Transport,1000,435
9/19/2023,General,3200,531
8/15/2023,General,4300,496
8/3/2023,Trade,1500,338
8/2/2023,French,800,435
8/1/2023,General,2000,517
7/12/2023,French,3800,375
7/11/2023,General,800,505
7/7/2023,French,2300,439
7/6/2023,Health,1500,463
7/5/2023,STEM,500,486
7/4/2023,General,700,511
6/28/2023,Health,500,476
6/27/2023,General,4300,486
6/8/2023,General,4800,486
5/24/2023,General,4800,488
5/10/2023,PNP,589,691
4/26/2023,General,3500,483
4/12/2023,General,3500,486
3/29/2023,General,7000,481
3/23/2023,General,7000,484
3/15/2023,General,7000,490
3/1/2023,PNP,667,748
2/15/2023,PNP,699,791
2/2/2023,FSW,3300,489
2/1/2023,PNP,893,733
1/18/2023,General,5500,490
1/11/2023,General,5500,507
