date,601_1200,501_600,451_500,491_500,481_490,471_480,461_470,451_460,401_450,441_450,431_440,421_430,411_420,401_410,351_400,301_350,0_300,Total,total_change,change_601,change_501,change_451,change_401,change_351,change_301,change_0,
4/9/2024,1093,12051,62073,9167,11246,16933,13429,11298,51694,10454,10485,9461,10640,10654,56015,27831,5410,216167,0,0,0,0,0,0,0,0,
5/29/2024,2918,14211,63353,8855,12120,16805,13828,11745,54078,11022,11023,9977,10900,11156,57028,27210,5606,224404,8237,1825,2160,1280,2384,1013,-621,196,
6/19/2024,3002,14330,63451,8880,12132,16800,13840,11799,54200,11026,11086,9989,10927,11172,57086,27247,5624,224940,536,84,119,98,122,58,37,18,
7/2/2024,940,16521,64761,10295,12447,16371,13883,11765,54148,11031,11342,9947,10876,10952,54902,25752,5523,222547,-2393,-2062,2191,1310,-52,-2184,-1495,-101,
7/17/2024,184,16968,60115,9982,11852,15120,12616,10545,52635,10067,11020,9701,10888,10959,54597,25669,5567,215735,-6812,-756,447,-4646,-1513,-305,-83,44,
7/31/2024,105,12455,60511,10172,12015,14994,12656,10674,51969,10137,11183,9798,10506,10345,54320,25553,5608,210521,-5214,-79,-4513,396,-666,-277,-116,41,
8/14/2024,125,11055,61210,10883,11990,14873,12747,10717,52261,10303,11229,9868,10619,10242,53137,24690,5482,207960,-2561,20,3,699,292,-1183,-863,-126,
8/27/2024,127,9764,61133,10918,12038,14722,12676,10779,51863,10259,11142,9814,10493,10155,52363,24396,5491,205137,-2823,2,-1291,-77,-398,-774,-294,9,
9/9/2024,937,9987,61797,11274,12131,14665,12717,11010,52525,10496,11357,9948,10474,10250,51188,23708,5427,205569,432,810,223,664,662,-1175,-688,-64,
10/21/2024,705,13209,63152,11903,12232,14872,12856,11289,55371,10903,12019,10558,11046,10845,50989,22920,5441,211787,6218,-232,3222,1355,2846,-199,-788,14,
10/22/2024,124,13430,63285,11925,12240,14914,12900,11306,55503,10931,12047,10583,11071,10871,51048,22928,5462,211780,-7,-581,221,133,132,59,8,21,
11/11/2024,810,16245,64079,12239,12309,15075,12974,11482,56206,10870,12049,10907,11317,11063,51137,22710,5548,216735,4955,686,2815,794,703,89,-218,86,
12/1/2024,738,18673,62985,12316,11905,14371,12521,11872,57590,11219,12313,11217,11602,11239,50609,22280,5615,218490,1755,-72,2428,-1094,1384,-528,-430,67,
12/16/2024,1203,19885,63369,12355,11984,14379,12610,12041,58543,11456,12511,11400,11788,11388,50506,22183,5621,221310,2820,465,1212,384,953,-103,-97,6,
1/7/2025,633,23021,65492,12799,12431,14917,12973,12372,60416,11878,12975,11839,12152,11572,50452,21746,5545,227305,5995,-570,3136,2123,1873,-54,-437,-76,
1/8/2025,171,23240,65699,12811,12492,14965,13034,12397,60704,11938,13030,11901,12224,11611,50607,21788,5554,227763,458,-462,219,207,288,155,42,9,
1/23/2025,200,24001,67548,13126,12866,15392,13483,12681,62426,12256,13389,12205,12667,11909,51213,21903,5633,232924,5161,29,761,1849,1722,606,115,79,
2/5/2025,173,23165,68940,13487,13033,15652,13815,12953,63508,12567,13621,12432,12833,12055,51079,21576,5641,234082,1158,-27,-836,1392,1082,-134,-327,8,
3/3/2025,807,23075,66792,13174,12730,15213,13377,12298,61383,11822,12429,12072,13014,12046,49555,20573,5637,227822,-6260,634,-90,-2148,-2125,-1524,-1003,-4,
3/16/2025,693,25522,70055,13711,13343,16033,14032,12936,61487,12314,13018,11619,11919,12617,51802,21303,6047,236909,9087,-114,2447,3263,104,2247,730,410,
